"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Michael Thomas (NO)","149","185","1,725","11.6","49","17","9","1","-9","0","0","16","300.1","18.8","97.0%"
"2","Chris Godwin (TB)","86","121","1,333","15.5","71","25","9","1","8","0","0","14","233.1","16.7","96.5%"
"3","Julio Jones (TEN)","99","157","1,394","14.1","54","21","6","2","-3","0","0","15","224.6","15.0","98.9%"
"4","Cooper Kupp (LAR)","94","134","1,161","12.4","66","21","10","2","4","0","0","16","223.5","14.0","94.3%"
"5","DeAndre Hopkins (ARI)","104","150","1,165","11.2","43","16","7","2","18","0","0","15","217.5","14.5","99.8%"
"6","Kenny Golladay (NYG)","65","116","1,190","18.3","75","22","11","0","0","0","1","16","215.5","13.5","94.5%"
"7","DeVante Parker (MIA)","72","128","1,202","16.7","51","21","9","0","0","0","0","16","210.2","13.1","53.3%"
"8","Keenan Allen (LAC)","104","149","1,199","11.5","45","15","6","3","16","0","0","16","209.5","13.1","99.4%"
"9","Amari Cooper (DAL)","79","119","1,189","15.1","53","17","8","1","6","0","0","16","207.0","12.9","98.1%"
"10","Julian Edelman (FA)","100","153","1,117","11.2","44","13","6","8","27","0","1","16","206.3","12.9","2.2%"
"11","Allen Robinson II (CHI)","98","154","1,147","11.7","49","15","7","1","2","0","0","16","205.9","12.9","99.2%"
"12","Mike Evans (TB)","67","118","1,157","17.3","67","17","8","0","0","0","0","13","199.2","15.3","99.3%"
"13","Jarvis Landry (CLE)","83","138","1,174","14.1","65","20","6","1","10","0","0","16","195.9","12.2","83.6%"
"14","Tyler Lockett (SEA)","82","110","1,057","12.9","44","15","8","4","-5","0","0","16","194.2","12.1","96.7%"
"15","A.J. Brown (TEN)","52","84","1,051","20.2","91","15","8","3","60","1","0","16","191.1","11.9","99.6%"
"16","D.J. Chark Jr. (JAC)","73","118","1,008","13.8","69","17","8","2","20","0","0","15","189.3","12.6","87.3%"
"17","Robert Woods (LAR)","90","139","1,134","12.6","48","14","2","17","115","1","0","15","187.9","12.5","97.1%"
"18","D.J. Moore (CAR)","87","135","1,175","13.5","52","13","4","6","40","0","1","15","187.0","12.5","95.1%"
"19","Courtland Sutton (DEN)","72","124","1,112","15.4","70","18","6","3","17","0","0","16","186.4","11.7","90.0%"
"20","John Brown (LV)","72","115","1,060","14.7","53","17","6","2","7","0","0","15","183.8","12.3","13.8%"
"21","Stefon Diggs (BUF)","63","94","1,130","17.9","66","20","6","5","61","0","3","15","180.6","12.0","99.8%"
"22","Michael Gallup (DAL)","66","113","1,107","16.8","62","18","6","0","0","0","0","14","179.7","12.8","81.1%"
"23","Tyler Boyd (CIN)","90","148","1,046","11.6","47","12","5","4","23","0","2","16","177.9","11.1","86.6%"
"24","Davante Adams (GB)","83","127","997","12.0","58","12","5","0","0","0","1","12","171.2","14.3","99.8%"
"25","Calvin Ridley (ATL)","63","93","866","13.7","36","12","7","2","34","0","0","13","165.5","12.7","99.5%"
