,Player,TDS,CMP,ATT,COMP%,YARDS,Y/A,INT,SACKS,FL,G
0,Josh Allen (BUF),67.0,836.0,1353.0,0.618,9707.0,7.174,31.0,92.0,12.0,44.0
1,Kyler Murray (ARI),46.0,724.0,1100.0,0.658,7693.0,6.994,24.0,75.0,6.0,32.0
2,Aaron Rodgers (GB),99.0,1097.0,1692.0,0.648,12743.0,7.531,11.0,105.0,9.0,48.0
3,Patrick Mahomes II (KC),114.0,1092.0,1652.0,0.661,13868.0,8.395,23.0,65.0,6.0,45.0
4,Deshaun Watson (HOU),85.0,1060.0,1544.0,0.687,12840.0,8.316,28.0,155.0,9.0,47.0
5,Russell Wilson (SEA),106.0,1005.0,1501.0,0.67,11770.0,7.841,25.0,146.0,8.0,48.0
6,Ryan Tannehill (TEN),72.0,692.0,1041.0,0.665,8540.0,8.204,22.0,90.0,8.0,39.0
7,Tom Brady (TB),93.0,1149.0,1793.0,0.641,13045.0,7.276,31.0,69.0,4.0,48.0
8,Justin Herbert (LAC),31.0,396.0,595.0,0.666,4336.0,7.287,10.0,32.0,1.0,15.0
9,Lamar Jackson (BAL),68.0,606.0,947.0,0.64,7085.0,7.482,18.0,68.0,10.0,46.0
10,Kirk Cousins (MIN),91.0,1081.0,1566.0,0.69,12166.0,7.769,29.0,107.0,15.0,47.0
11,Matt Ryan (ATL),87.0,1237.0,1850.0,0.669,13971.0,7.552,32.0,131.0,13.0,47.0
12,Derek Carr (LV),67.0,1090.0,1583.0,0.689,12206.0,7.711,27.0,106.0,18.0,48.0
13,Ben Roethlisberger (PIT),67.0,886.0,1345.0,0.659,9283.0,6.902,27.0,39.0,3.0,33.0
14,Matthew Stafford (LAR),66.0,893.0,1374.0,0.65,10360.0,7.54,26.0,96.0,8.0,40.0
15,Cam Newton (NE),32.0,612.0,928.0,0.659,6624.0,7.138,24.0,66.0,3.0,31.0
16,Baker Mayfield (CLE),75.0,932.0,1506.0,0.619,11115.0,7.38,43.0,91.0,9.0,46.0
17,Jared Goff (DET),74.0,1128.0,1739.0,0.649,13278.0,7.635,41.0,78.0,14.0,47.0
18,Teddy Bridgewater (DEN),25.0,487.0,711.0,0.685,5235.0,7.363,14.0,45.0,3.0,30.0
19,Philip Rivers (FA),79.0,1106.0,1642.0,0.674,13092.0,7.973,43.0,85.0,5.0,48.0
20,Drew Brees (FA),83.0,920.0,1257.0,0.732,9913.0,7.886,15.0,42.0,3.0,38.0
21,Carson Wentz (IND),64.0,918.0,1445.0,0.635,9733.0,6.736,29.0,118.0,17.0,39.0
22,Drew Lock (DEN),23.0,354.0,599.0,0.591,3953.0,6.599,18.0,24.0,4.0,18.0
23,Daniel Jones (NYG),35.0,564.0,907.0,0.622,5970.0,6.582,22.0,83.0,17.0,27.0
24,Joe Burrow (CIN),13.0,264.0,404.0,0.653,2688.0,6.653,5.0,32.0,4.0,10.0
25,Gardner Minshew II (JAC),37.0,501.0,797.0,0.629,5530.0,6.939,11.0,60.0,11.0,23.0
26,Mitchell Trubisky (BUF),57.0,814.0,1247.0,0.653,8416.0,6.749,30.0,80.0,7.0,39.0
27,Ryan Fitzpatrick (WAS),50.0,658.0,1015.0,0.648,7986.0,7.868,33.0,68.0,3.0,33.0
28,Taysom Hill (NO),4.0,94.0,134.0,0.701,1047.0,7.813,3.0,16.0,6.0,48.0
29,Sam Darnold (CAR),45.0,729.0,1219.0,0.598,8097.0,6.642,39.0,98.0,7.0,38.0
30,Andy Dalton (CHI),51.0,756.0,1226.0,0.617,8230.0,6.713,33.0,82.0,5.0,35.0
31,Tua Tagovailoa (MIA),11.0,186.0,290.0,0.641,1814.0,6.255,5.0,20.0,1.0,10.0
32,Dak Prescott (DAL),61.0,895.0,1344.0,0.666,10642.0,7.918,23.0,89.0,11.0,37.0
33,Nick Mullens (PHI),25.0,387.0,600.0,0.645,4714.0,7.857,22.0,36.0,4.0,20.0
34,Jalen Hurts (PHI),6.0,77.0,148.0,0.52,1061.0,7.169,4.0,13.0,2.0,15.0
35,Nick Foles (CHI),20.0,420.0,624.0,0.673,4001.0,6.412,14.0,35.0,4.0,18.0
36,Alex Smith (FA),16.0,373.0,580.0,0.643,3762.0,6.486,13.0,44.0,1.0,19.0
37,Dwayne Haskins (PIT),12.0,267.0,444.0,0.601,2804.0,6.315,14.0,49.0,5.0,16.0
38,Jimmy Garoppolo (SF),39.0,476.0,705.0,0.675,5792.0,8.216,21.0,60.0,5.0,25.0
39,Mike Glennon (NYG),9.0,132.0,210.0,0.629,1302.0,6.2,5.0,10.0,3.0,10.0
40,Joe Flacco (PHI),24.0,477.0,775.0,0.615,5151.0,6.646,14.0,49.0,4.0,22.0
41,Brandon Allen (CIN),8.0,129.0,226.0,0.571,1440.0,6.372,6.0,16.0,1.0,9.0
42,C.J. Beathard (JAC),14.0,168.0,273.0,0.615,2039.0,7.469,7.0,27.0,6.0,13.0
43,Kyle Allen (WAS),23.0,383.0,607.0,0.631,4198.0,6.916,17.0,53.0,8.0,20.0
44,Jake Luton (JAC),2.0,60.0,110.0,0.545,624.0,5.673,6.0,7.0,0.0,3.0
45,Jeff Driskel (HOU),13.0,202.0,346.0,0.584,2120.0,6.127,8.0,38.0,1.0,16.0
46,Marcus Mariota (LV),19.0,340.0,519.0,0.655,3957.0,7.624,11.0,67.0,2.0,22.0
47,Chad Henne (KC),2.0,30.0,41.0,0.732,277.0,6.756,0.0,2.0,0.0,5.0
48,Ryan Finley (FA),,,,,,,,,,
49,Jacoby Brissett (MIA),18.0,276.0,459.0,0.601,2961.0,6.451,6.0,29.0,5.0,30.0
50,Mason Rudolph (PIT),15.0,201.0,326.0,0.617,2089.0,6.408,10.0,16.0,0.0,15.0
51,Colt McCoy (ARI),4.0,92.0,147.0,0.626,869.0,5.912,5.0,17.0,1.0,9.0
52,Jarrett Stidham (NE),2.0,24.0,48.0,0.5,270.0,5.625,4.0,5.0,0.0,8.0
53,Garrett Gilbert (DAL),1.0,23.0,44.0,0.523,283.0,6.432,1.0,3.0,0.0,9.0
54,Brett Rypien (DEN),2.0,27.0,40.0,0.675,295.0,7.375,4.0,1.0,0.0,3.0
55,Blaine Gabbert (TB),6.0,70.0,117.0,0.598,769.0,6.573,4.0,6.0,0.0,12.0
56,Chase Daniel (LAC),7.0,127.0,183.0,0.694,1214.0,6.634,6.0,19.0,0.0,14.0
57,John Wolford (LAR),0.0,22.0,38.0,0.579,231.0,6.079,1.0,2.0,0.0,1.0
58,Phillip Walker (CAR),1.0,32.0,56.0,0.571,368.0,6.571,5.0,4.0,0.0,4.0
59,Taylor Heinicke (WAS),2.0,47.0,76.0,0.618,457.0,6.013,3.0,3.0,0.0,8.0
60,Matt Barkley (FA),3.0,53.0,97.0,0.546,788.0,8.124,4.0,4.0,1.0,9.0
61,Trace McSorley (BAL),1.0,3.0,10.0,0.3,90.0,9.0,0.0,0.0,0.0,3.0
62,Tyrod Taylor (HOU),3.0,62.0,121.0,0.512,714.0,5.901,2.0,15.0,0.0,14.0
63,Chris Streveler (ARI),1.0,11.0,16.0,0.688,105.0,6.562,1.0,2.0,0.0,5.0
64,Ben DiNucci (DAL),0.0,23.0,43.0,0.535,219.0,5.093,0.0,7.0,2.0,3.0
65,Robert Griffin III (FA),1.0,33.0,58.0,0.569,288.0,4.966,4.0,8.0,1.0,14.0
66,Brian Hoyer (NE),4.0,51.0,91.0,0.56,509.0,5.593,5.0,7.0,2.0,11.0
67,Tyler Huntley (BAL),0.0,3.0,5.0,0.6,15.0,3.0,0.0,0.0,0.0,2.0
